name_clean,orbital_period,semi_major_axis,DL,star_mass,mass,method,M_lens,pi_rel,theta_E,te,thetas,s,q,u0,rho,piEE,piEN,r_s,a_s,v_para,v_perp,v_radial,DS,t0,W149,u,g,r,i,z,Y,alpha
kepler407ac,2091.7494,3.27,341.69,0.96,11.089,Radial Velocity,0.9705854954604858,0.0018042949452511726,3.7764664863526574,25.438205452489306,0.0012410007619286642,2.53413559357384,0.011026557771339422,-2.1395237178179256,0.00032861426585231875,3.185561149830078e-12,1.1560688274312818e-12,0.7892237515118284,1,0.057793293924935464,-0.33988721900697116,1.003238483959456,891.0,2461638.763828608,24.4758,30.437,27.531,26.233,25.237,24.746,24.529,3.141592653589793
hd110067f,41.05854,0.2163,32.22,0.798,0.01586,Transit,0.7980151398645506,0.030907374152449874,14.172667242059372,51.52222459043207,0.00021138645486524688,0.47367383194938306,1.8972261341796356e-05,1.6374835353143848,1.4915079233493044e-05,1.1616338103208143e-11,1.4015866078264463e-11,4.222314734527536,1,-179.6875452651695,83.97876151350196,-175.06415151899785,7737.0,2461638.763828608,23.7068,31.375,28.052,26.641,24.994,24.193,23.837,3.141592653589793
hd112570b,2615.0,3.9,100.5,1.15,3.42,Radial Velocity,1.153264712280175,0.009822518522472578,9.60485693392874,63.28878613902659,0.0005700900473082346,4.0402444738321215,0.0028388802436305144,-3.7927346989962656,5.935435074461299e-05,-6.7562535677721056e-12,1.5087937347745017e-12,0.4950195496717121,1,-0.3250754292795956,0.5136533522662242,0.08704770148019111,7829.0,2461638.763828608,20.9028,22.333,21.114,20.701,20.594,20.58,20.572,3.141592653589793
toi2497b,10.655661,0.1167,285.1,1.86,5.21,Transit,1.86497343595898,0.0021301307452897002,5.68793239473567,27.510292367777613,0.006610177651107121,0.07196464922948913,0.00267389030052698,13.823746796692873,0.001162140685291023,1.7993510611207844e-12,1.3713743609269306e-12,27.791422891844725,1,3746.1591005938594,-5711.56218315021,-4045.8268787389707,726.0,2461638.763828608,19.6468,21.253,19.923,19.473,19.358,19.34,19.329,3.141592653589793
toi2202c,24.6744,0.15544,235.93,0.823,0.369,Transit Timing Variations,0.8233522452723346,0.0038524449451419313,5.082484090751623,31.01762606239308,0.000898152303548744,0.1296294242193827,0.0004280015459716658,7.584668514091417,0.00017671522183081162,4.874965847795938e-12,2.908101298178611e-12,15.4285958766216,1,374.28100574558374,234.91133883915663,-464.59812253953936,2590.0,2461638.763828608,21.0148,25.207,22.842,21.782,21.363,21.161,21.037,3.141592653589793
hd17156b,21.2163979,0.1623,78.24,1.275,3.195,Transit,1.2780499285775317,0.0125030219772406,11.407654983883583,26.083989085132796,0.0003360863370843059,0.18184162354122035,0.002392100845123132,5.317449355750533,2.9461474558892194e-05,6.440572464842485e-12,3.7425773569898285e-12,10.998581958583506,1,180.1097302913062,964.3826704035192,-520.2863101159808,3595.0,2461638.763828608,24.9688,30.758,27.926,26.657,25.699,25.226,25.017,3.141592653589793
toi784c,42.0,0.22,64.59,0.91,22.0,Radial Velocity,0.9310010731473252,0.015338965259670196,10.784203960210391,41.17372048463595,0.00040918413526674555,0.31584157978182587,0.023078102359697966,2.850302664718125,3.794291509846061e-05,-8.946943002007138e-12,1.3316707546045966e-12,6.332288488999902,1,-13.064383425394903,266.684202625999,-311.1003538984235,6978.0,2461638.763828608,23.0228,26.44,24.343,23.492,23.193,23.059,22.97,3.141592653589793
hd181433b,9.3745,0.0801,26.15,0.78,0.0223,Radial Velocity,0.7800212874514175,0.03752968022868395,15.440296288409282,63.328748976628894,0.0015176248580318719,0.19838333780160355,2.72916043814307e-05,4.842362579076084,9.82898792668326e-05,1.347553600634399e-11,3.2220310885690013e-12,10.081491833755374,1,93.21151120409552,862.1867595714293,-1266.3185380983116,1406.0,2461638.763828608,23.0088,27.939,25.469,24.344,23.611,23.25,23.062,3.141592653589793
hd188641b,14583.8,12.027,64.3399,1.07,29.365,Radial Velocity,1.0980316596805093,0.015407702264193197,11.737925271980801,7.760569957894323,0.0002489931047729123,15.925225443908113,0.02619781278552264,-15.862431984341578,2.1212701478622903e-05,-4.595212514017484e-12,8.48306696764377e-12,0.12558691913307019,1,-0.11811421156613153,0.029434368183060264,-0.08373570379922414,7421.0,2461638.763828608,22.3418,27.42,24.91,23.742,22.952,22.562,22.368,3.141592653589793
hd1461b,5.7715,0.0634,23.4,1.02,0.0203,Radial Velocity,1.0200193782629496,0.04258731042598674,18.80872203455939,62.61083051524756,0.00032443316108457716,0.14405028180135893,1.8998297009389505e-05,6.797970153666934,1.7249080532343422e-05,1.4582939279490884e-11,1.4584312984144067e-11,13.884040870936586,1,-4795.621201013706,-2488.7534261682235,-1306.5297803032254,6769.0,2461638.763828608,22.4908,27.105,24.64,23.499,22.955,22.681,22.529,3.141592653589793
