time,A_true,A_observed_blended,flux_unblended,flux_blended,mag_unblended,mag_blended,mag_observed,mag_sigma,mag_baseline_blended
-80.0,1.0062236080539257,1.001601109105146,16.394361325506903,63.43312447988079,24.463263743645555,22.994209740860295,22.994209740860295,0.0,22.995946732797492
-79.59899749373433,1.0063367465450344,1.001630215544158,16.396204686453924,63.43496784082781,24.463141671722795,22.99417818992133,22.99417818992133,0.0,22.995946732797492
-79.19799498746868,1.006452416291828,1.001659973183646,16.3980892890494,63.43685244342329,24.46301688286329,22.994145934038738,22.994145934038738,0.0,22.995946732797492
-78.796992481203,1.006570684230271,1.0016903992438102,16.400016223878335,63.43877937825222,24.46288930580494,22.99411295461033,22.99411295461033,0.0,22.995946732797492
-78.39598997493735,1.0066916193312196,1.0017215114683564,16.401986614680162,63.44074976905405,24.4627588671458,22.99407923247019,22.99407923247019,0.0,22.995946732797492
-77.99498746867168,1.0068152926701326,1.0017533281424273,16.404001619484504,63.44276477385839,24.462625491272107,22.994044747869463,22.994044747869463,0.0,22.995946732797492
-77.59398496240601,1.0069417774994291,1.0017858681112195,16.406062431790122,63.444825586164015,24.462489100283605,22.99400948045639,22.99400948045639,0.0,22.995946732797492
-77.19298245614036,1.0070711493236115,1.0018191507993086,16.40817028178888,63.446933436162766,24.462349613916153,22.993973409255617,22.993973409255617,0.0,22.995946732797492
-76.79197994987469,1.0072034859772625,1.0018531962307158,16.41032643763654,63.44908959201043,24.46220694946139,22.993936512646705,22.993936512646705,0.0,22.995946732797492
-76.39097744360902,1.007338867706044,1.0018880250497457,16.4125322067725,63.45129536114639,24.46206102168345,22.993898768341808,22.993898768341808,0.0,22.995946732797492
-75.98997493734336,1.0074773772508172,1.001923658542627,16.414788937290314,63.45355209166421,24.4619117427325,22.993860153362522,22.993860153362522,0.0,22.995946732797492
-75.58897243107769,1.0076190999350247,1.0019601186599936,16.41709801936146,63.45586117373535,24.461759022055077,22.993820644015813,22.993820644015813,0.0,22.995946732797492
